Ref,Qty,Value,Footprint,Manufacturer,MPN,Distributor,DistributorPN,Package,Description,DNP,Notes
U305,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U306,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U307,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U308,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U309,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U310,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U311,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U312,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U313,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U314,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U315,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U316,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U317,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U318,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U319,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U320,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U321,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U322,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U323,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U324,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U325,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U326,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U327,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U328,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U329,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U330,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U331,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U332,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U333,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U334,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U335,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U336,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U337,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U338,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U339,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U340,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U341,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U342,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U343,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U344,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U345,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U346,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U347,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U348,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
U349,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 1 phase",,
L101,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L102,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L103,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L104,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L105,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L106,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L107,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L108,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L109,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L110,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L111,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L112,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L113,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L114,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L115,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L116,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L117,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L118,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L119,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L120,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L121,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L122,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L123,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L124,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L125,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L126,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L127,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L128,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L129,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L130,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L131,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L132,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L133,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L134,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L135,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L136,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L137,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L138,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L139,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L140,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L141,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L142,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L143,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L144,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L145,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L146,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L147,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
L148,1,150nH 1.6mΩ,Inductor_SMD:L_Bourns-SRP1770,Vishay,IHLE-2525CD-01-150,Digi-Key,IHLE-2525CD-150-ND,2525,"Power inductor 150nH, 42A Isat, DCR 1.6mΩ",,
C1000,1,470uF 2.5V,Capacitor_SMD:CP_Elec_6.3x7.7,Panasonic,EEHZC0E471P,Digi-Key,PCE5311CT-ND,D6.3 radial SMD,"Tier-1 (bulk) V_core polymer electrolytic, at VRM output",,
C1001,1,470uF 2.5V,Capacitor_SMD:CP_Elec_6.3x7.7,Panasonic,EEHZC0E471P,Digi-Key,PCE5311CT-ND,D6.3 radial SMD,"Tier-1 (bulk) V_core polymer electrolytic, at VRM output",,
C1002,1,470uF 2.5V,Capacitor_SMD:CP_Elec_6.3x7.7,Panasonic,EEHZC0E471P,Digi-Key,PCE5311CT-ND,D6.3 radial SMD,"Tier-1 (bulk) V_core polymer electrolytic, at VRM output",,
C1003,1,470uF 2.5V,Capacitor_SMD:CP_Elec_6.3x7.7,Panasonic,EEHZC0E471P,Digi-Key,PCE5311CT-ND,D6.3 radial SMD,"Tier-1 (bulk) V_core polymer electrolytic, at VRM output",,
C1004,1,470uF 2.5V,Capacitor_SMD:CP_Elec_6.3x7.7,Panasonic,EEHZC0E471P,Digi-Key,PCE5311CT-ND,D6.3 radial SMD,"Tier-1 (bulk) V_core polymer electrolytic, at VRM output",,
C1005,1,470uF 2.5V,Capacitor_SMD:CP_Elec_6.3x7.7,Panasonic,EEHZC0E471P,Digi-Key,PCE5311CT-ND,D6.3 radial SMD,"Tier-1 (bulk) V_core polymer electrolytic, at VRM output",,
C1006,1,470uF 2.5V,Capacitor_SMD:CP_Elec_6.3x7.7,Panasonic,EEHZC0E471P,Digi-Key,PCE5311CT-ND,D6.3 radial SMD,"Tier-1 (bulk) V_core polymer electrolytic, at VRM output",,
C1007,1,470uF 2.5V,Capacitor_SMD:CP_Elec_6.3x7.7,Panasonic,EEHZC0E471P,Digi-Key,PCE5311CT-ND,D6.3 radial SMD,"Tier-1 (bulk) V_core polymer electrolytic, at VRM output",,
C1008,1,470uF 2.5V,Capacitor_SMD:CP_Elec_6.3x7.7,Panasonic,EEHZC0E471P,Digi-Key,PCE5311CT-ND,D6.3 radial SMD,"Tier-1 (bulk) V_core polymer electrolytic, at VRM output",,
C1009,1,470uF 2.5V,Capacitor_SMD:CP_Elec_6.3x7.7,Panasonic,EEHZC0E471P,Digi-Key,PCE5311CT-ND,D6.3 radial SMD,"Tier-1 (bulk) V_core polymer electrolytic, at VRM output",,
